"","start_date","state","retail_rec_p1","grocery_rx_p1","parks_p1","transit_p1","workplaces_p1","residential_p1","end_date","retail_rec_p2","grocery_rx_p2","parks_p2","transit_p2","workplaces_p2","residential_p2","retail_rec_change","grocery_rx_change","parks_change","transit_change","workplace_change","residential_change"
"16",2020-06-22,"Arizona",-20,-11,-10,-30,-40,11,2020-06-29,-19,-10,-8,-28,-39,11,1,1,2,2,1,0
"17",2020-06-23,"Arizona",-20,-8,-10,-27,-40,12,2020-06-30,-19,-7,-9,-27,-40,13,1,1,1,0,0,1
"18",2020-06-24,"Arizona",-20,-9,-13,-27,-39,12,2020-07-01,-19,-4,-12,-26,-41,12,1,5,1,1,-2,0
"19",2020-06-25,"Arizona",-20,-8,-8,-29,-40,12,2020-07-02,-16,-1,-4,-25,-43,12,4,7,4,4,-3,0
"20",2020-06-26,"Arizona",-24,-8,-12,-30,-39,13,2020-07-03,-23,1,-2,-31,-58,17,1,9,10,-1,-19,4
"21",2020-06-27,"Arizona",-28,-11,-24,-29,-16,8,2020-07-04,-42,-10,-24,-39,-29,10,-14,1,0,-10,-13,2
"22",2020-06-21,"Arkansas",-6,14,93,3,-11,1,2020-06-28,-7,6,100,9,-10,2,-1,-8,7,6,1,1
"23",2020-06-22,"Arkansas",-5,3,56,-1,-31,9,2020-06-29,-5,3,45,1,-30,8,0,0,-11,2,1,-1
"24",2020-06-23,"Arkansas",-3,5,96,0,-30,8,2020-06-30,2,9,106,1,-30,7,5,4,10,1,0,-1
"25",2020-06-24,"Arkansas",1,9,140,1,-28,6,2020-07-01,7,13,116,3,-30,6,6,4,-24,2,-2,0
"26",2020-06-25,"Arkansas",-1,11,134,3,-29,6,2020-07-02,10,19,121,6,-33,6,11,8,-13,3,-4,0
"27",2020-06-26,"Arkansas",-6,3,122,1,-29,8,2020-07-03,5,21,200,1,-53,10,11,18,78,0,-24,2
"28",2020-06-27,"Arkansas",-11,6,105,9,-7,2,2020-07-04,-26,6,112,-16,-26,3,-15,0,7,-25,-19,1
"29",2020-06-21,"California",-32,-4,10,-34,-14,5,2020-06-28,-31,-11,8,-34,-14,6,1,-7,-2,0,0,1
"30",2020-06-22,"California",-29,-11,8,-40,-42,13,2020-06-29,-26,-9,10,-39,-40,13,3,2,2,1,2,0
"31",2020-06-23,"California",-29,-7,14,-38,-42,14,2020-06-30,-25,-7,15,-39,-41,13,4,0,1,-1,1,-1
"32",2020-06-24,"California",-29,-8,9,-39,-41,14,2020-07-01,-24,-4,10,-38,-41,13,5,4,1,1,0,-1
"33",2020-06-25,"California",-29,-7,7,-39,-41,14,2020-07-02,-22,2,14,-36,-43,13,7,9,7,3,-2,-1
"34",2020-06-26,"California",-31,-7,7,-39,-40,14,2020-07-03,-25,8,24,-40,-58,17,6,15,17,-1,-18,3
"35",2020-06-27,"California",-33,-6,6,-32,-16,7,2020-07-04,-48,-5,-4,-41,-32,10,-15,1,-10,-9,-16,3
"36",2020-06-21,"Colorado",-14,3,89,-26,-12,1,2020-06-28,-12,0,91,-23,-11,2,2,-3,2,3,1,1
